id;description;nocturnal_surchage;sundays;holidays;bonus;account_plan_id
1;e-tailers cultivate Pelota;63267;23712;48444;23342;1
2;empresa Metal;68112;65719;900;81210;2
3;Gerente;64979;30245;55227;30107;3
4;1080p Travesía Borders;79583;56916;22023;15140;4
5;back-end Producto;41894;40743;64781;80954;5
6;content;31652;26558;73460;67076;6
7;Granito compressing;13982;63256;2905;52384;7
8;Cataluña;9095;86774;5005;49827;8
9;Samoa Contabilidad;77446;97116;91016;61568;9
10;Para Sorprendente bandwidth;34140;35592;64824;84880;10
